Epoch,BatchSize,ModelType,NumParameters,TrainAccuracy,ValidationAccuracy,TrainTime,ValidationTime
0,64,joint,9984665,0.09964434057474136,0.1813296228647232,95.71614122390747,5.626530408859253
1,64,joint,9984665,0.22540360689163208,0.2601512670516968,93.70834565162659,5.610612869262695
2,64,joint,9984665,0.29038122296333313,0.28931131958961487,93.87751865386963,5.610011339187622
3,64,joint,9984665,0.33008313179016113,0.2934912443161011,93.92299818992615,5.614139795303345
4,64,joint,9984665,0.3680267035961151,0.3002587556838989,94.98271369934082,5.6100945472717285
5,64,joint,9984665,0.39933663606643677,0.30473726987838745,93.84434223175049,5.516482591629028
6,64,joint,9984665,0.43164563179016113,0.3168789744377136,92.67505598068237,5.516818046569824
7,64,joint,9984665,0.45552268624305725,0.303244411945343,92.54105019569397,5.515875816345215
8,64,joint,9984665,0.4826366603374481,0.30483677983283997,92.61693716049194,5.511597156524658
9,64,joint,9984665,0.5033367872238159,0.30792197585105896,92.57408452033997,5.506277799606323
10,64,joint,9984665,0.5246163606643677,0.30891719460487366,92.48124027252197,5.516675710678101
11,64,joint,9984665,0.5380434989929199,0.30354300141334534,92.41351842880249,5.514753341674805
12,64,joint,9984665,0.5534287095069885,0.3083200752735138,92.22422051429749,5.485962152481079
13,64,joint,9984665,0.5696131587028503,0.29836782813072205,92.3740599155426,5.4878926277160645
14,64,joint,9984665,0.5746483206748962,0.3043391704559326,92.14001631736755,5.50081992149353
15,64,joint,9984665,0.5909126996994019,0.30175158381462097,92.14072108268738,5.517671585083008
16,64,joint,9984665,0.5991647839546204,0.2956807315349579,92.19176316261292,5.500479698181152
17,64,joint,9984665,0.6072770357131958,0.29090365767478943,92.10609459877014,5.500052452087402
18,64,joint,9984665,0.612432062625885,0.29428741335868835,92.09577512741089,5.500218152999878
19,64,joint,9984665,0.6220428347587585,0.3008559048175812,92.20644927024841,5.4790403842926025
20,64,joint,9984665,0.6287963390350342,0.29219746589660645,92.12769412994385,5.501360177993774
21,64,joint,9984665,0.6379076242446899,0.2927945852279663,92.13924717903137,5.490544557571411
22,64,joint,9984665,0.643742024898529,0.29428741335868835,92.12810564041138,5.4849631786346436
23,64,joint,9984665,0.6478980183601379,0.29229697585105896,92.12142300605774,5.4991326332092285
24,64,joint,9984665,0.6511948704719543,0.296875,92.14301443099976,5.482381343841553
25,64,joint,9984665,0.6610453724861145,0.29219746589660645,92.14096307754517,5.484423398971558
26,64,joint,9984665,0.6671994924545288,0.29846736788749695,92.72072553634644,5.593168497085571
27,64,joint,9984665,0.6687979698181152,0.2908041477203369,93.29749488830566,5.593805551528931
28,64,joint,9984665,0.6763906478881836,0.28393709659576416,93.30981302261353,5.582842588424683
29,64,joint,9984665,0.6797074675559998,0.2898089289665222,93.336416721344,5.5939648151397705
30,64,joint,9984665,0.6878596544265747,0.2927945852279663,93.32417273521423,5.576422691345215
31,64,joint,9984665,0.6884790658950806,0.296875,93.39028358459473,5.5819244384765625
32,64,joint,9984665,0.6932544708251953,0.295083612203598,92.99763226509094,5.501690864562988
33,64,joint,9984665,0.6982097029685974,0.2904060482978821,92.15665245056152,5.500118732452393
34,64,joint,9984665,0.7036644816398621,0.29329219460487366,92.16171455383301,5.499222755432129
35,64,joint,9984665,0.7077605724334717,0.29727309942245483,92.1559944152832,5.500732421875
36,64,joint,9984665,0.7077205777168274,0.2866241931915283,92.15497994422913,5.4843645095825195
37,64,joint,9984665,0.7150535583496094,0.29936304688453674,92.22487592697144,5.500515699386597
38,64,joint,9984665,0.7189298272132874,0.29199841618537903,92.1897509098053,5.51583456993103
39,64,joint,9984665,0.7210478186607361,0.28493231534957886,92.14568018913269,5.507666826248169
40,64,joint,9984665,0.7247841954231262,0.2923964858055115,92.17538714408875,5.484916925430298
41,64,joint,9984665,0.7283408045768738,0.296875,92.21372532844543,5.4996337890625
42,64,joint,9984665,0.7311980724334717,0.3000597059726715,92.18987464904785,5.49910569190979
43,64,joint,9984665,0.7370923757553101,0.2924960255622864,92.28715372085571,5.499755620956421
44,64,joint,9984665,0.7399696111679077,0.290505588054657,92.18297147750854,5.495640993118286
45,64,joint,9984665,0.7407289147377014,0.2960788309574127,92.22192072868347,5.495652675628662
46,64,joint,9984665,0.7414681911468506,0.28592753410339355,92.27388620376587,5.497824192047119
47,64,joint,9984665,0.7495604157447815,0.2926950752735138,92.22554278373718,5.49617862701416
48,64,joint,9984665,0.7511988282203674,0.2924960255622864,92.26136183738708,5.505128622055054
49,64,joint,9984665,0.7523577213287354,0.2925955355167389,92.21621298789978,5.49975848197937
0,64,alternating,4995737,0.07978340983390808,0.140625,54.78005766868591,3.11225962638855
1,64,alternating,4995737,0.17341352999210358,0.2125796228647232,54.735066413879395,3.1079747676849365
2,64,alternating,4995737,0.22216671705245972,0.2667197585105896,54.79714322090149,3.120384693145752
3,64,alternating,4995737,0.270620197057724,0.2852309048175812,54.8656222820282,3.1085214614868164
4,64,alternating,4995737,0.3021898865699768,0.31279855966567993,54.971052408218384,3.1145119667053223
5,64,alternating,4995737,0.3234894573688507,0.32882165908813477,54.8287627696991,3.124101161956787
6,64,alternating,4995737,0.34654730558395386,0.34862658381462097,54.793585777282715,3.1116063594818115
7,64,alternating,4995737,0.36107337474823,0.35479697585105896,54.9382221698761,3.124026298522949
8,64,alternating,4995737,0.379995197057724,0.36723726987838745,55.2081298828125,3.108109951019287
9,64,alternating,4995737,0.39282289147377014,0.37868231534957886,54.896876096725464,3.11183762550354
10,64,alternating,4995737,0.4069293439388275,0.38365843892097473,54.80597448348999,3.1074764728546143
