"","ModelType","Train Accuracy","Test Accuracy","Total Training Time (Minutes)","Number of Parameters"
"1","alternating",0.824548423290253,0.779657661914825,49.6383638302485,4719167
"2","alternating2Block",0.854766488075256,0.786042332649231,117.547889014085,9407604
"3","joint",0.86309140920639,0.70262736082077,77.5305349588394,9708095
"4","joint2Block",0.808201372623444,0.779452860355377,535.868683477243,19385460
"5","resnet18",0.932704627513885,0.791500806808472,35.7690460880597,11689512
"6","VIT",0.569273471832275,0.585390150547028,72.0721675912539,10791946
