"","ModelType","Train Accuracy","Test Accuracy","Total Training Time (Minutes)","Number of Parameters"
"1","alternating",0.705582618713379,0.451134562492371,46.1886459430059,4995737
"2","joint",0.752357721328735,0.316878974437714,77.1907952944438,9984665
"3","resnet18",0.864969611167908,0.470342367887497,42.8875772118568,11689512
"4","VIT",0.177109971642494,0.202925950288773,70.1435839653015,10884196
