"","ModelType","Test Accuracy","Train Time","Number of Parameters"
"1","alternating",0.598749995231628,4.57527001698812,4719167
"2","alternating2Block",0.572875022888184,11.3566750407219,9407604
"3","joint",0.583249986171722,7.87260692516963,9708095
"4","joint2Block",0.620000004768372,19.7715022087097,19385460
"5","resnet18",0.589375019073486,4.04677506685257,11689512
"6","VIT",0.293000012636185,7.00544029474258,10791946
